namespace,title,raw_content,created_at,updated_at 
Technology,Rascal.vis,"== Headline ==

A rascal library with functions for creating visualizations

== Metadata ==

* [[sameAs::http://tutor.rascal-mpl.org/Rascal/Libraries/Vis/Vis.html]]
* [[instanceOf::Framework]]
* [[facilitates::Graph_visualization]]
* [[partOf::Rascal]]",2017-06-28 13:38:18.058837,2017-07-04 15:01:36.021091
Concept,Just-in-time compilation,"== Headline ==

A form of [[compilation]] done on the fly possibly as part of [[interpretation]]

== Metadata ==

* [[sameAs::http://en.wikipedia.org/wiki/Just-in-time_compilation]]
* [[isA::Compilation]]
",2014-04-23 20:48:44.586,2017-07-04 15:26:35.363927
Concept,Instance method,"== Headline ==

A [[method]] that dispatches on a receiver type

== Illustration ==

See [[Contribution:javaInheritance]].

== Metadata ==

[[isA::Method]]

",2014-04-27 18:23:52.627,2017-07-04 15:26:35.41016
Concept,Space,"== Headline ==

A technological space

== Metadata ==

[[isA::Concept]]

",2014-06-25 14:32:44.321,2017-07-04 15:26:35.508317
Technology,Dancer,"== Headline ==

A micro [[Web-application framework]] written in [[Language:Perl]], inspired by [[Technology:Sinatra]].

== Illustration ==

Dancer employs an embedded [[Domain-specific language]] to route and handle requests:

<syntaxhighlight lang=""perl"">
#!/usr/bin/perl
use strict;
use warnings;
use Dancer;
use CGI qw(escapeHTML);

# A static route
get '/' => sub {
    return 'Hello, world!';
};

# A route with a parameter
get '/hello/:name' => sub {
    my $name = escapeHTML(param 'name');
    return ""Hello, $name!"";
};

dance;
</syntaxhighlight>

When visiting this server's root page, it will show ""Hello, world!"". When visiting a URL like ""/hello/Human"", it will pattern-match the route and display ""Hello, Human!"".

== Metadata ==

[[uses::Language:Perl]]
[[sameAs::http://www.perldancer.org/]]
[[sameAs::http://en.wikipedia.org/wiki/Dancer_%28software%29]]
[[isA::Web-application_framework]]
[[uses::External DSL]]

",2014-08-19 23:27:46.843,2017-07-04 15:26:36.018262
Contribution,xtext,"== Headline ==

[[IDE Creation]] with an XText- and Eclipse-based DSL editor
== Motivation ==

Based on an Xtext [[grammar]], [[model]] code and a corresponding DSL editor is generated, with which companies can be edited and operations for totaling and cutting salaries can be invoked. Textual syntax is described by the EBNF dialect of Xtext. [[Technology:Ecore]] is used for the representation of [[model]]s where the [[Technology:Ecore]] [[model]] is derived from the EBNF. The generated [[parser]] maps textual syntax to EObjects. Hence, this can be seen as a [[Text to Model transformation]]. The [[parser]] is ANTLR-based. The implementation hence also relates to [[Technology:EMF]]-based implementations such as [[Contribution:emf]] as well as ANTLR-based implementations such as [[Contribution:antlrParser]].
== Architecture ==

* [[Feature:Hierarchical_company]]: implemented by the generated EMF classes.
* [[Feature:Total]]: manually implemented as verification in IOIJavaValidator.java
* [[Feature:Cut]]: manually implemented as verification and corresponding editor quickfix in IOIJavaValidator.java and IOIQuickfixProvider.java.
* [[Feature:Parsing]] TODO
== Usage ==

A Eclipse version with an installed xtext plugin is needed to execute the transformations (e.g. the  [http://www.eclipse.org/downloads/packages/eclipse-modeling-tools/junor the EMF version] with the installed xtext Framework).

Steps:
* The contribution should be imported into Eclipse (it will contain 3 Eclipse plugins)
* io.iocompanies.lang.ioi will provide a file called GenerateIOI.mwe2, which is under src/org.ioicompanies.lang
* Executing this file (by right clicking and then selecting ""Run As"" -> ""MWE2 workflow"") will result in the generation of a [[metamodel]] and the the [[editor]]
* Then the runtime workbench can be started by right clicking on ""org.ioicompanies.lang.ioi"" and selecting ""Run As"" -> ""Eclipse Application"".

The project will also provide a sample company. This file is called text.ioi and can be found in org.ioicompanies.lang.ioi. To use it, first a new project needs to be created (""File"" -> ""New"" -> ""Other"" and then under ""General"" select ""Project""). Then, copy the file into this newly created project and double click on it. Eclipse will ask if you want to add the XText nature to your project, which you should do. The file can then be edited with full auto completion support.

Comments:
* You might need to refresh the Project Explorer in Eclipse (right click and then select ""Refresh"")
== Issues ==

* Usage information missing
* Architecture information somewhat sparse
* The information markers indicating the total salary per department are not correctly updated when updating salaries manually.
== Metadata ==
* [[uses::Language:Java]]
* [[uses::Language:EBNF]]
* [[uses::Technology:ANTLR]]
* [[uses::Technology:Eclipse]]
* [[uses::Technology:Ecore]]
* [[uses::Technology:Xtext]]
* [[implements::Feature:Hierarchical_company]]
* [[implements::Feature:Total]]
* [[implements::Feature:Cut]]
* [[implements::Feature:Parsing]]
* [[implements::Feature:Unparsing]]
* [[developedBy::Contributor:Rolf-Helge Pfeiffer]]
* [[memberOf::Theme:ANTLR]]
* [[memberOf::Theme:MDE]]
",2013-06-12 14:59:20.347,2017-07-05 15:30:06.09183
Technology,SWT,"== Headline ==

SWT is an open-source Widget toolkit.


== Metadata ==

* [[sameAs::https://en.wikipedia.org/wiki/Standard_Widget_Toolkit]]
* [[sameAs::https://www.eclipse.org/swt/]]
* [[relatesTo::https://www.eclipse.org/swt/docs.php]]
* [[instanceOf::Library]]
* [[facilitates::GUI programming]]
",2017-05-23 12:59:39.173427,2017-07-04 15:02:20.145954
Concept,Reference,"== Headline ==

A reference from one entity to another

== Metadata ==

* [[sameAs::https://en.wikipedia.org/wiki/Reference_(computer_science)]]
* [[relatesTo::https://stackoverflow.com/questions/3793527/what-is-the-difference-in-ecore-between-containment-and-reference]]
* [[instanceOf::Software Concept]]
",2017-06-28 14:41:18.243486,2017-07-04 15:10:22.551217
Concept,Data definition language,"== Headline ==

A software language for defining data structures, e.g., database schemas

== Metadata ==

* [[sameAs::http://en.wikipedia.org/wiki/Data_definition_language]]
* [[similarTo::https://www.techopedia.com/definition/1175/data-definition-language-ddl]]
* [[relatesTo::Data manipulation language]]
* [[isA::Software language]]
",2014-08-29 20:59:53.214,2017-07-04 15:26:42.669343
Concept,URI,"== Headline ==

A way to uniquely identify resources

== Abbreviation ==

Uniform Resource Identifier

== Metadata ==

* [[sameAs::https://en.wikipedia.org/wiki/Uniform_Resource_Identifier]]
* [[instanceOf::Software concept]]",2017-06-28 14:25:15.738512,2017-07-04 15:14:21.177864
