page,more than once,once,rating
Course:Lambdas_in_Koblenz,111.0,200.0,-89.0
Script:First_steps_in_Haskell,67.0,137.0,-70.0
Data_composition,20.0,75.0,-55.0
Structured_programming,25.0,73.0,-48.0
Data_modeling_in_Haskell,6.0,54.0,-48.0
Linear_search,35.0,72.0,-37.0
Concept:Data_modeling_in_Haskell,7.0,37.0,-30.0
Theme:Web_applications_in_Java,0.0,27.0,-27.0
Concept:Concrete_data_type,2.0,28.0,-26.0
Concept:Selection_sort,8.0,34.0,-26.0
Vocabulary:Programming_languages,2.0,28.0,-26.0
Concept:Rose_tree,16.0,41.0,-25.0
Concept:Data_composition,6.0,30.0,-24.0
Concrete_data_type,2.0,23.0,-21.0
Contribution:OCL_using_USE,3.0,21.0,-18.0
Concept:State_monad,5.0,23.0,-18.0
Text_to_Model_transformation,3.0,20.0,-17.0
Theme:Java_mapping,1.0,15.0,-14.0
Requirement,10.0,24.0,-14.0
List,10.0,23.0,-13.0
Basic_software_engineering_for_Haskell,1.0,13.0,-12.0
State_monad,15.0,27.0,-12.0
Language:XML,1.0,13.0,-12.0
scripts/Contribution:antlr4ParseTreeVisitor,1.0,12.0,-11.0
Technology:SAX,12.0,23.0,-11.0
Goto,18.0,28.0,-10.0
Data_requirement,0.0,10.0,-10.0
Web_UI_REST_API,2.0,12.0,-10.0
Concept:Abstract_factory_pattern,7.0,16.0,-9.0
Selection_sort,35.0,44.0,-9.0
Writer_monad,9.0,17.0,-8.0
Contribution:argoUML,3.0,11.0,-8.0
Array,14.0,22.0,-8.0
Theme:Python_potpourri,0.0,8.0,-8.0
B%C3%B6hm-Jacopini_theorem,24.0,31.0,-7.0
Technology:LogicBlox,0.0,7.0,-7.0
scripts/LaemmelO06,8.0,15.0,-7.0
Technology:Bouncy_Castle,0.0,7.0,-7.0
Contribution:jdom,22.0,28.0,-6.0
Script:Unparsing_and_parsing_in_Haskell,63.0,69.0,-6.0
Vocabulary:Software_engineering,0.0,6.0,-6.0
Merge_sort,8.0,14.0,-6.0
Concept:Insertion_sort,8.0,14.0,-6.0
Concept:Semantic_equality,1.0,7.0,-6.0
Function_Sequence,0.0,6.0,-6.0
Contribution:antlr4ParseTreeVisitor,1.0,7.0,-6.0
Concept:Linear_search,64.0,69.0,-5.0
Concept:Recursion_removal,0.0,5.0,-5.0
Contributor:tschnitzler1976,3.0,8.0,-5.0
First_steps_in_Haskell,0.0,5.0,-5.0
Fold_algebra,2.0,7.0,-5.0
Contributor:Nils_Breest,0.0,5.0,-5.0
Concept:Context-free_grammar,0.0,4.0,-4.0
101wiki,6.0,10.0,-4.0
Concept:Type_signature,2.0,6.0,-4.0
Software_technology,4.0,8.0,-4.0
Contribution:xslt,2.0,6.0,-4.0
Higher-order_functions_in_Haskell,1.0,5.0,-4.0
Search_problem,11.0,15.0,-4.0
Concept:Structured_programming,1.0,5.0,-4.0
Vocabulary:Functional_programming,2.0,6.0,-4.0
Contribution:zend,1.0,5.0,-4.0
Contribution:wxHaskell,0.0,4.0,-4.0
Combinator,0.0,4.0,-4.0
Namespace:101,0.0,4.0,-4.0
Contribution:php,0.0,4.0,-4.0
Scrap_your_boilerplate,3.0,7.0,-4.0
Abstraction,7.0,11.0,-4.0
Contribution:hibernate,4.0,8.0,-4.0
Transcompiler,0.0,4.0,-4.0
scripts/Technology:LogicBlox,0.0,4.0,-4.0
Contribution:mps,0.0,3.0,-3.0
Concept:Immutable_list,2.0,5.0,-3.0
Concept:Haskell_genericity,0.0,3.0,-3.0
Concept:Visitor_pattern,3.0,6.0,-3.0
Functional_requirement,4.0,7.0,-3.0
Vocabulary:Software_language_engineering,2.0,5.0,-3.0
Concept:Imperative_data_structure,0.0,3.0,-3.0
Memory_management,0.0,3.0,-3.0
Feature:Company,1.0,4.0,-3.0
Template_method_pattern,4.0,7.0,-3.0
Contribution:javaVisitor,4.0,7.0,-3.0
Observer_pattern,2.0,5.0,-3.0
Language:Datalog,0.0,3.0,-3.0
Contribution:xtext,1.0,4.0,-3.0
Concept:Scripting_language,0.0,3.0,-3.0
Contribution:emfGenerative,1.0,4.0,-3.0
Contribution:egl,0.0,3.0,-3.0
101repo,1.0,4.0,-3.0
Script:Searching_and_sorting_in_Haskell,139.0,142.0,-3.0
101worker,2.0,5.0,-3.0
@project,0.0,3.0,-3.0
Domain-specific_language,1.0,4.0,-3.0
Feature:Abstraction,1.0,4.0,-3.0
Concept:Map_function,1.0,4.0,-3.0
Concept:Software_language,1.0,4.0,-3.0
Theme:Haskell_introduction,4.0,7.0,-3.0
IDE_Creation,0.0,3.0,-3.0
Concept:Text_to_Model_transformation,0.0,3.0,-3.0
Technology:QuickCheck,3.0,6.0,-3.0
Programming_idiom,1.0,4.0,-3.0
Course:Programming_in_Koblenz,1.0,4.0,-3.0
Technology:Xtext,3.0,6.0,-3.0
Quicksort,9.0,12.0,-3.0
Namespace:Feature,6.0,9.0,-3.0
XMLware,0.0,3.0,-3.0
Fibonacci_sequence/create_new_page_confirmation,0.0,2.0,-2.0
Concept:Structural_equality,1.0,3.0,-2.0
Concept:Control-flow_graph,0.0,2.0,-2.0
Contribution:pythonSyb,2.0,4.0,-2.0
Concept:Software_feature,0.0,2.0,-2.0
Semantic_equality,11.0,13.0,-2.0
Technology:ReactNative,3.0,5.0,-2.0
